start,end,today,sectionA/source_type,sectionA/inspection_date,sectionA/inspecting_agency,sectionA/new_inspectig_agency,sectionA/inspected_by,sectionA/district_regions,sectionA/district,sectionA/settlement_name,sectionA/settlement_distance,sectionA/establishing_agency,sectionA/new_establishing_agency,sectionA/establishing_date,sectionA/source_name,sectionA/source_gpspoint,sectionA/_source_gpspoint_latitude,sectionA/_source_gpspoint_longitude,sectionA/_source_gpspoint_altitude,sectionA/_source_gpspoint_precision,sectionA/gps_unit,sectionA/source_north,sectionA/source_east,sectionA/sources_cluster,sectionA/water_use_type,sectionA/water_use_type/rural,sectionA/water_use_type/urban,sectionA/water_source_photo,sectionB/permanent,sectionB/months_used,sectionB/functioning,sectionB/reason_for_non_functioning,sectionB/use_human,sectionB/use_camel,sectionB/use_cattle,sectionB/use_shoats,sectionB/use_agricultural,sectionC/bh_depth,sectionC/casing_type,sectionC/casing_size,sectionC/bh_static_level,sectionC/bh_yield,sectionC/bh_operating_hours,sectionC/bh_draw_down,sectionC/bh_recovery_time,sectionC/dw_depth,sectionC/dw_static_level,sectionC/dw_well_protection,sectionC/dw_yield,sectionC/dw_operating_hours,sectionC/dw_draw_down,sectionC/recovery_time,sectionC/dam_depth,sectionC/dam_length,sectionC/dam_width,sectionC/berkad_depth,sectionC/berkad_length,sectionC/berkad_width,sectionC/spring_protected,sectionC/cumulative_discharge_rate,sectionC/other_depth,sectionC/other_length,sectionC/other_width,sectionC/other_source_yield,sectionC/source_protected,sectionD/reservoir_type,sectionD/reservoir_capacity,sectionD/pipeline_type,sectionD/pipeline_length,sectionD/household_connections,sectionD/water_points_kiosks,sectionD/animal_troughs,sectionD/water_trucking,sectionD/number_of_trucks,sectionD/capacity_of_trucks,sectionD/pump_type,sectionD/pump_model,sectionD/pump_capacity,sectionD/pump_level,sectionD/source_of_power,sectionD/generator_type,sectionD/generator_capacity,sectionD/solar_type,sectionD/solar_capacity,sectionD/supply_system_condition,sectionD/supply_condition_description,sectionE/physical_wq_issues,sectionE/color_odor_smell_description,sectionE/temperature,sectionE/pH,sectionE/ec25,sectionE/tds,sectionE/water_sample_for_additional_analysis,sectionF/management_type,sectionF/WSC,sectionF/WSC_establishment_date,sectionF/WSC_male_members,sectionF/WSC_female_members,sectionF/users_charged_for_water,sectionF/water_cost_human,sectionF/animals_charged_for_water,sectionF/water_cost_camel,sectionF/water_cost_cattle,sectionF/water_cost_sheep_goats,sectionF/operator_name,sectionF/operator_contact,sectionG/intervention_agency,sectionG/new_intervening_agency,sectionG/intervention_description,sectionG/intervention_date,sectionG/currently_required_intervention,Currently Intervention_description Comments,Distance to the Settlement,GPS Coordinates,Water Usage Type,BH Depth,Casing Size,BH depth/SWL,Permanent/moths used,Kiosks,"BH yield, Operating Hrs, and number of water trucks filled",BH dept vs Pump Level,Reservoir capacity,User/Human,User/Agricultural,EC,Water_cost_camel,Water_cost_sheep_goats
2022-02-19T12:23:18.265+03:00,2022-02-20T20:06:41.201+03:00,2022-02-19,borehole,2022-02-19,"Puntland Ministry of Energy, Minerals and Water",,Eng Yusuf Salad,bari,Qardho,Dangorayo,1,Tadamun Social Society,,2007-01-18,Dangorayo borehole,8.7252347 49.3311253 584.6999999999999 4.48,8.7252347,49.3311253,584.7,4.48,no,,,1,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24845431?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645263992077.jpg,yes,,no,"12/2/2022 the day stopped functioning.
Main raising pipes requires changing.",9600,2000,0,5000,1,412,pvc,8,210,12,9,,,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,100,Galvanised Steel,1000,1600,0,2,yes,5,9,Submersible Pump,Lawara,,250,Hybrid - Solar/Generator,Perkins,60,300-72M,27,good,"Pump conditionis is good, 
Condition of the pipelines are good. elevated water tank is intact.",no,,,,,,,Communal,yes,2022-01-01,10,0,yes,0,yes,0.2,,0.25,Siciid Mire Geele,906791747,Norwegian Refugee Council,,Replacement of main raising pipe.,2021-05-28,Replacement of the main raising pipes.,,,,,,,,,,,,,,,Why was water quality not checked?,,
2022-02-19T11:39:01.342+03:00,2022-02-20T08:21:48.397+03:00,2022-02-19,borehole,2022-02-19,"Puntland Ministry of Energy, Minerals and Water",,"Khadra
",nugaal,Garowe,Awr-culus,0.8,CARE Somalia,,2016-02-19,Awr-culus BH,8.0534817 48.6095122 675.606689453125 4.744,8.0534817,48.6095122,675.6066895,4.744,no,,,0,urban rural,TRUE,TRUE,http://classic.ona.io/api/v1/files/24836623?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645260275862.jpg,yes,,yes,,10000,15000,1500,8000,0,260,pvc,8,150,8,15,,2,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,25,Galvanised Steel,160,500,5,3,yes,6,36,Submersible Pump,Lowara,5.5,180,Hybrid - Solar/Generator,CEOlMO,30,,14.4,fair,Needs rehabilitation supplies ,no,,30.3,7.15,4720,2350,No,Communal,no,,,,yes,0.3,yes,10,0.2,0.2,Faizal Yusuf Cilmi,907740075,"Puntland Ministry of Energy, Minerals and Water",,"Pump repaired.
Generator repaired provide by PWDA",2017-02-19,"Rehabilitation kiosks. 
Rehabilitation for animal thoughts.",,,,,,,,,,,,,,,,"Check cost, seems too high",
2022-02-19T14:02:06.511+03:00,2022-02-20T08:32:26.522+03:00,2022-02-19,borehole,2022-02-19,"Puntland Ministry of Energy, Minerals and Water",,Khadra,nugaal,Garowe,Yoombays,1.3,ISRC - Islamic Relief Committee,,2019-08-19,Yoombays BH,8.0214834 49.0024209 511.4766845703125 4.288,8.0214834,49.0024209,511.4766846,4.288,no,,,0,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24836641?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645268630020.jpg,yes,,yes,,15000,50000,5000,35000,0,320,pvc,8,,12,20,,2,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,50,Galvanised Steel,250,1500,3,2,yes,15,90,Submersible Pump,"Lowara
",16,290,Hybrid - Solar/Generator,Parkins,50,,12,good,It is very good,yes,"Colorless, odorless",34.8,6.77,3950,1936,Yes,Communal,yes,2020-08-15,3,2,yes,0.3,yes,0.1,0.15,0.2,Abshir Ali salaad,907672426,not_specified,,This is new borehole with good water supply ,,"Fuel
Construction of new elevated tank
Training for water committees. ",,,,,,,,,,,,,,,,,
2022-02-19T16:28:19.027+03:00,2022-02-21T06:29:57.006+03:00,2022-02-19,borehole,2022-02-19,"Puntland Ministry of Energy, Minerals and Water",,Khadra,nugaal,Eyl,Xasbahalle,0.3,International Committee of The Red Cross,,2007-02-19,Xasbahalle BH 2,7.9616741 49.1638283 512.0905151367188 4.288,7.9616741,49.1638283,512.0905151,4.288,no,,,1,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24846796?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645277580954.jpg,yes,,yes,,1500,10000,,15000,0,300,pvc,8,,5,15,,4,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,20,Galvanised Steel,300,150,1,2,yes,3,24,Submersible Pump,Lowara,7.5,285,Hybrid - Solar/Generator,Parkins,45,,11,fair,Supply is not good,yes,Colorless and odorless,32.2,7.1,3570,1764,No sampled,Communal,yes,2007-02-19,5,2,yes,0.1,yes,0.02,0.02,0.2,Abdullaahi Ali Guureeye,907621722,KAALO Relief and Development,,Rehabilitation and extension of solar power,2020-12-19,"1. Construction of new kiosks.
2. New generator.
3. Extension solar power.
4. Rehabilitation of kiosks.
6. New  one latrine. 
7. Reconstruction of generator room.
8.  Rehabilitation and Installation of new pump and pipes.",,,,,,,,,,,,,,,,,
2022-02-19T15:47:11.033+03:00,2022-02-20T19:39:31.012+03:00,2022-02-19,borehole,2022-02-19,"Puntland Ministry of Energy, Minerals and Water",,Khadra,nugaal,Eyl,Xasbahalle ,,Chinese Government,,1986-02-19,Xasbahalle BH,7.9635816 49.1609604 512.0905151367188 4.288,7.9635816,49.1609604,512.0905151,4.288,no,,,1,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24846795?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645275273126.jpg,yes,,yes,,2500,500,,1500,0,230,pvc,8,,6,15,,2,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,60,Galvanised Steel,200,500,1,2,no,,,Submersible Pump,Lowara,7.5,220,Hybrid - Solar/Generator,Parkins,30,,5.5,fair,The consition of this supply system is very poor,yes,Colorless and odorless,30.3,6.85,3880,1929,No sample,Communal,no,,,,yes,0.1,yes,0.2,0.02,0.02,Ahmed Cawel Cise,907787122,"Puntland Ministry of Energy, Minerals and Water",,Pipeline repaired,2021-01-20,"1. Needs rehabilitation of koiks.
2. Construction of new new kiosks.
3. Construction of animal thoughts.
4. Fuel.",,,,,,,,,,,,,,,,,
2022-02-19T16:02:23.417+03:00,2022-02-20T20:33:09.370+03:00,2022-02-19,dugwell,2022-02-19,"Puntland Ministry of Energy, Minerals and Water",,Eng Yusuf Salad,bari,Qardho,Dangorayo,25,Community,,1900-01-10,Kalyaxeed,8.77649 49.2087583 595.3 4.7,8.77649,49.2087583,595.3,4.7,no,,,2,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24845428?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645297941326.jpg,yes,,yes,,42000,5000,0,20000,0,,,,,,,,,3,2,no,2.25,24,,,,,,,,,,,,,,,,Other,,Other,,7000,0,0,yes,10,9,No Pump,,,,,,,,,poor,"No pipe line
No elevated water tank
No pump
No casing 
No kiosks
No water troughs
No reservoir.",no,,30,6.6,1060,525,,Other,,,,,no,,no,,,,No one,,Community,,The community has digged 1meter deep,2022-02-08,"Water kiosks.
Pump,Generator/solar.
Digging extra meters deep inside the well.
Pipelines and Elevated water tank.
Well Casing .
Animal troughs.
Subsurface dam.",,"the source is 25 Km away, how is this possible?",,,,,,,,,,,,,,,
2022-02-20T09:15:36.285+03:00,2022-02-20T19:27:09.038+03:00,2022-02-20,borehole,2022-02-20,"Puntland Ministry of Energy, Minerals and Water",,Khadra,nugaal,Eyl,Dhiganle,1.5,"Puntland Ministry of Energy, Minerals and Water",,2020-11-20,Dhiganle BH,7.8186471 49.4982254 224.89166259765625 4.931,7.8186471,49.4982254,224.8916626,4.931,no,,,1,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24846805?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645338528711.jpg,yes,,yes,,18000,70000,,25000,0,180,pvc,8,110,129,15,18,0.45,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,40,PVC,150,700,1,2,yes,12,72,Submersible Pump,Lowara,7.5,160,Generator,Parkins,30,,,good,Some of systems are under construction.,yes,Colorless and odorless,30.5,6.45,4560,2240,Dhiganle BH Sampled,Communal,no,,,,yes,0.1,yes,0.2,0.2,0.5,Mohamed abdulqaadir,907656156,,,No previous interventions,,"1. Needs  Installation of solar.
2. Water supply extensions. 
3. Training of Water committees
4. Fancing of borehole areas.
5. Installation of enough capacity pump.",,,,,,,,,,"Confirm yield, seems too high",,,,,,,
2022-02-20T16:03:52.761+03:00,2022-02-21T23:11:27.805+03:00,2022-02-20,borehole,2022-02-20,"Puntland Ministry of Energy, Minerals and Water",,Yusuf Salad,bari,Qardho,Ceelbuh,1,,,2015-10-20,Ceelbuh borehole,9.0910365 49.593264 465.5 4.066,9.0910365,49.593264,465.5,4.066,no,,,1,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24859068?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645422602767.jpg,yes,,yes,,24000,7000,,70000,,225,pvc,8,60,12,9,,,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,36,Galvanised Steel,600,6000,10,2,yes,6,45,Submersible Pump,Lawara,,162,Hybrid - Solar/Generator,Coelmo,33,300-72M,22.5,good,"The borehole is Good supply system 
Elevated water tank is good
Water kiosks are good.",no,,33,6,4200,2280,,Communal,no,,,,yes,0.1,yes,0.15,,0.1,Maxamed adan Huruuse,907680749,Community,,"Replacement of generator 
Replacement of electric cable which acess to the generator.",2022-02-17,"Rehabilitation of solar panels and solar accessories equipment
Rehabilitation of elevated water tank
Construction of extra water trough 
Needs of fuel which acess to the generator.",,,,,,,,,,,,,,,,,
2022-02-20T09:13:04.853+03:00,2022-02-21T22:58:47.178+03:00,2022-02-20,borehole,2022-02-20,"Puntland Ministry of Energy, Minerals and Water",,Yusuf Salad,bari,Qardho,Uuskure,3,Save the Children UK,,2019-01-15,Uuskure borehole,8.8064715 49.7419923 400.1 4.2,8.8064715,49.7419923,400.1,4.2,no,,,1,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24858978?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645389378211.jpg,yes,,yes,,20000,5000,,24000,,330,pvc,8,240,12,,,,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,40,Galvanised Steel,430,4000,1,2,yes,7,9,Submersible Pump,Lawara,,330,Hybrid - Solar/Generator,Perkins,65,300-72M,25.5,good,"Main raising pipes are good
Elevated water tank is good
Pump is good
Well casing is good.",no,,23,6.7,4100,2000,,Communal,yes,2019-01-24,3,2,yes,0.025,yes,0.15,,0.08,Cabdirisaq cabdulahi cisman,907651784,"Puntland Ministry of Energy, Minerals and Water",,Replacement of main raising pipes,2021-07-20,"Construction of new elevated water tank
Construction of another animal water troughs
 Increasing of solar panels
Incentives of caretakers.",,,,,,,,,,,"BH depth 330m is equal to the pump level 330m, please clarify?",,,,,,
2022-02-20T11:56:45.305+03:00,2022-02-20T19:26:53.977+03:00,2022-02-20,borehole,2022-02-20,"Puntland Ministry of Energy, Minerals and Water",,Khadra,nugaal,Eyl,Dhanaane,6.5,CARE Somalia,,2007-01-07,Dhnaane BH,7.7738103 49.7791205 224.442626953125 4.288,7.7738103,49.7791205,224.442627,4.288,no,,,0,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24846819?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645347578601.jpg,yes,,yes,,2000,500,,10000,0.018,180,pvc,8,,8,12,,0.4,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,8,Galvanised Steel,7000,270,3,2,yes,15,90,Submersible Pump,Lowara,15,140,Hybrid - Solar/Generator,Parkins,30,SZYL-M330-36,22.1,fair,The condition of this supply is needs rehabilitation ,yes,Colorless and odorless,35.2,6.97,1801,894,Dhanaane BH sampled,Communal,yes,2007-01-20,5,2,yes,0.1,yes,0.15,,0.02,Mohamud abdulle faarax,907741508,"Puntland Ministry of Energy, Minerals and Water",,"Extension of pipelines.
Repaired of pump.
",2013-01-15,"Rehabilitation of tanks.
Rehabilitation of generator
Water supply Rehabilitation.",,,,,,,,,,,,,,,,,
2022-02-20T12:43:51.081+03:00,2022-02-21T23:03:53.874+03:00,2022-02-20,borehole,2022-02-20,"Puntland Ministry of Energy, Minerals and Water",,Yusuf salad,bari,Qardho,Baqbaq,1.5,United Nations Children's Fund,,2017-01-17,Baqbaq borehole,8.6930135 50.0613239 334.4 3.98,8.6930135,50.0613239,334.4,3.98,no,,,2,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24859021?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645421368583.jpg,yes,,yes,,1620,1000,,15000,,412,pvc,8,,9,12,,,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,20,Galvanised Steel,1500,270,4,2,yes,12,10,Submersible Pump,Lawara,,400,Hybrid - Solar/Generator,Perkins,60,,,good,"The water supply system is good
But water have high salt.",no,,28.5,7.6,7300,3600,,Communal,yes,2018-02-25,6,2,no,,no,,,,Dahir siciid,906281280,"Puntland Ministry of Energy, Minerals and Water",,Replacement of main raising pipes,2019-01-20,"Extra solar panels 
Construction of another elevated water tank.",,,,,,,,,,,,,,,,,
2022-02-20T11:48:45.578+03:00,2022-02-21T22:52:29.997+03:00,2022-02-20,dugwell,2022-02-20,"Puntland Ministry of Energy, Minerals and Water",,Yusuf Salad,bari,Qardho,Baqbaq,0.2,Community,,1900-02-20,Ceeldoog dug well,8.7006557 50.0704293 295.7 4.68,8.7006557,50.0704293,295.7,4.68,no,,,2,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24858952?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645420551592.jpg,yes,,yes,,60000,3000,,12000,,,,,,,,,,18,17.5,no,2.25,24,,,,,,,,,,,,,,,,Other,,Galvanised Steel,,10000,,2,yes,5,9,No Pump,,,,,,,,,poor,"No main raising pipe lines
No pipe line distribution 
No pump
No casing
No elevated water tank.",no,,29,6.5,2000,1000,,Communal,yes,2018-03-21,6,2,no,,no,,,,,,Community_e,,"Construction of animal water troughs
Construction of protection reinfoced concrete cover which protect the well for the sediments soil.",2019-01-14,"Digging the deep of the well intro extra meters
Main raising pipes
Main distribution pipe lines
Construction of elevated water tank.
Construction of water kiosks and animal water troughs.
Pupm, casing, 
Generator,  and solar power system.",,,,,,,,,,,,,,,,,
2022-02-21T10:45:54.588+03:00,2022-02-22T06:45:04.861+03:00,2022-02-21,borehole,2022-02-21,"Puntland Ministry of Energy, Minerals and Water",,Khadra,nugaal,Eyl,Aftogweyne,1.5,not_specified,HARO organisation,2018-10-21,Aftogweyne BH,8.188677 49.4674281 169.85498046875 4.402,8.188677,49.4674281,169.8549805,4.402,no,,,0,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24860215?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645429809745.jpg,yes,,yes,,12000,2000,,20000,0,160,pvc,8,,12,12,,1.3,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,90,Galvanised Steel,1500,1500,5,2,yes,15,90,Submersible Pump,Lowara,11,130,Hybrid - Solar/Generator,Parkins,45,SZYL-P320-36,11,good,Good condition,yes,Colorless and odorless,32.8,7.03,2450,1220,No sampled,Communal,yes,2018-11-15,3,2,yes,0.05,yes,0.05,,0.2,Cali Muse Mohamed,907744347,KAALO Relief and Development,,Construction of new elevated tank,2020-02-21,"1. Rehabilitation Fancing borehole areas.
2. Water committees training.",,,,,,,,,,,,,,,,,
2022-02-21T16:01:37.978+03:00,2022-02-22T06:51:13.326+03:00,2022-02-21,borehole,2022-02-21,"Puntland Ministry of Energy, Minerals and Water",,Khadra,nugaal,Eyl,Diillin,1.5,Action Internationale Centre La Fairm,,2021-07-21,Diilin BH,7.9761522 49.3870967 303.463623046875 3.866,7.9761522,49.3870967,303.463623,3.866,no,,,0,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24860222?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645448663573.jpg,yes,,yes,,14000,,,,50,318,pvc,8,,12,10,,3.5,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,60,Galvanised Steel,200,750,2,3,yes,30,180,Submersible Pump,Lowara,15,270,Generator,Parkins,45,,,good,"Water supply of this borehole is under construction, ",yes,Colorless and odorless,37,6.61,4210,2100,Sampled,Communal,no,,,,yes,0.1,yes,0.1,,0.1,Mohamed abdinur muse,906793042,Action Internationale Centre La Fairm,,Under construction,2022-02-21,"1. Water committees training 
2. Needs helping with fuel.",,,,,,,,,,,,,,"Please confirm the acreage, in Ha",,,
2022-02-21T10:34:35.972+03:00,2022-02-21T23:35:57.002+03:00,2022-02-21,borehole,2022-02-21,"Puntland Ministry of Energy, Minerals and Water",,Enng Mohamed Muse Abdi,bari,Qardho,Shaxda,0.5,Community,,2013-02-01,Shaxda borehole,9.1736052 48.9089705 820.4000000000001 4.866,9.1736052,48.9089705,820.4,4.866,no,,,1,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24859308?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645475647226.jpg,yes,,yes,,60000,20000,300,45000,1.5,284,pvc,8,80,9,13,,,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,16,Galvanised Steel,2500,10000,3,2,yes,15,9,Submersible Pump,G-force,,204,Hybrid - Solar/Generator,Perkins,65,RP300-M72,22.8,good,,no,,28,6.65,4100,2030,,Communal,yes,2013-02-21,3,4,no,,no,,,,Cabdiladiif Cabdulahi Farax,907251150,Community,,Submersible pump replacement.,2021-10-21,"Replacement of main raising pipes.
Provision of animal troughs into different pipes, now access pipes of animal troughs are one pipe line.
Replacement of pump
Construction of extra elevated water tank.
Rehabilitation of solar panels. 
Fuel of generator
Construction of 3 extra water kiosks.
Extension of pipe inside the town ( 1000 meter).",,,,,,,,,,,,,,,,,
2022-02-21T15:33:50.067+03:00,2022-02-21T23:39:17.695+03:00,2022-02-21,dugwell,2022-02-21,"Puntland Ministry of Energy, Minerals and Water",,Eng Mohamed Muse Abdi,bari,Qardho,Yibaayil,0.5,Community,,1900-02-21,Yibaayil dug well,8.9940942 48.8926948 632.1 4.58,8.9940942,48.8926948,632.1,4.58,no,,,3,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24859310?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645475836963.jpg,yes,,yes,,30000,27000,,150000,,,,,,,,,,3,2,yes,2.5,12,1,,,,,,,,,,,,,,,Concrete/Masonry tank,20,Galvanised Steel,600,5000,3,,yes,17,10,Submersible Pump,,,3,Solar,,,Dusol-160W,1.6,poor,"There is no generator.
There is a problem of solar power system.
There is no good main raising pipes
There is no main distribution pipe lines.",no,,31,6.8,2000,1000,,Communal,yes,2008-02-14,5,2,no,,no,,,,"Maxamed Cabdikarim Muse
Gaani Cabdule Yusuf (phone number: 0906024511)",907310013,Community,,"Digged new well
New pipelines 
Concrete top Cover of the well
Pump,  solar.",2021-09-01,"New well to be digged
Powerful solar system 
Bigger capacity water tank
Extended pipeline and to be renewed
Rehabilitation of the solar system 
Kiosks to be rehabilitated and New kiosks. 
Curent water tank needs immediately Rehabilitation.",,,,,,,,,,,,,,,,,
2022-02-22T15:22:30.651+03:00,2022-02-25T07:34:21.090+03:00,2022-02-22,spring,2022-02-22,"Puntland Ministry of Energy, Minerals and Water",,Khadra,nugaal,Eyl,Mareye,3,CARE Somalia,,2011-02-24,Mereye spring,8.3303933 50.1705172 -46.109100341796875 4.466,8.3303933,50.1705172,-46.10910034,4.466,no,,,1,urban rural,TRUE,TRUE,http://classic.ona.io/api/v1/files/24949920?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645534567386.jpg,yes,,yes,,5250,1000,50,10000,0,,,,,,,,,,,,,,,,,,,,,,no,16,,,,,,Concrete/Masonry tank,54,Galvanised Steel,5000,750,6,4,yes,5,30,Submersible Pump,Lowara,7.5,3,Hybrid - Solar/Generator,COELMO,30,HSPH11KH,11,fair,Pipelines needs rehabilitation,yes,Colorless and odorless,29.5,7.73,1875,943,No,Communal,yes,2011-01-22,2,3,yes,0.1,yes,0.1,0.1,0.2,Ahmed faarax,907722103,Action Afrika Hilfe e.V,,Construction of elevated water tank,2021-12-25,"1.Pipelines rehabilitation water supply.
2. Rehabilitation of pump and installation new pump.
3. Reconstruction/ rehabilitation of spring well.
4. Construction of new kiosks.
6. Extension of pipelines water supply in village.",,,,,,,,,,,,,,,,,
2022-02-22T13:38:47.718+03:00,2022-02-23T18:39:54.993+03:00,2022-02-22,spring,2022-02-22,"Puntland Ministry of Energy, Minerals and Water",,Khadra,nugaal,Eyl,Ceelmadoobe,0.8,not_specified,Community,2011-02-22,Ceelmadoobe Spring,8.3965987 50.0466206 239.93548583984375 4.556,8.3965987,50.0466206,239.9354858,4.556,no,,,0,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24896553?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645526548007.jpg,yes,,yes,,650,300,,10000,0,,,,,,,,,,,,,,,,,,,,,,no,20,,,,,,Concrete/Masonry tank,16,Galvanised Steel,522,130,2,2,yes,2,5,Submersible Pump,Lowara,5,3,Hybrid - Solar/Generator,Lister petter,25,,7.5,fair,Supply Needs rehabilitation ,yes,Colorless and odorless,29,7.1,3200,1650,No sampled,Communal,yes,2015-01-22,3,2,yes,0.05,yes,0.1,,0.1,Cilmi yusuf ismaaciil,907142136,Muslim Aid,,"1.Construction of caretaker room.
2.Construction of elevated tank, kiosks,  and animal thoughts.",2013-01-22,"1. Fancing of borehole 
2. Week capacity of pump.
4. Construction of new kiosks
5.Rehiniltatation and  Water supply extensions.
6. Rehabilitation of animal thoughts.
7. Rehabilitation of solar power system.",,,,,,,,,,,,,,,,,
2022-02-22T10:10:20.670+03:00,2022-02-23T08:14:18.097+03:00,2022-02-22,borehole,2022-02-22,"Puntland Ministry of Energy, Minerals and Water",,Eng Mohamed Muse Abdi,bari,Qardho,Xaajikhayr,1,United Nations Children's Fund,,2021-12-22,Xaajikhayr borehole,8.989235 49.2686459 620.1 4.7,8.989235,49.2686459,620.1,4.7,no,,,1,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24875730?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645515855383.jpg,yes,,yes,,18000,7000,,45000,0.25,312,pvc,8,102,16,15,,,,,,,,,,,,,,,,,,,,,,,Concrete/Masonry tank,50,Galvanised Steel,1200,3000,1,2,yes,10,45,Submersible Pump,Lawara,,294,Hybrid - Solar/Generator,Coelmo,50,Dusol,26.5,good,,no,,26,7,4050,1950,,Communal,no,,,,yes,,yes,0.1,,,Mahad cali jamac,907723250,KAALO Relief and Development,,Solar power installation,2021-12-22,"Water supply system of the whole village
Construction of extra water kiosks 
1000 meter of pipe line of the whole the village.
Water purification.",,,,,,,,,,,,,,,,,
2022-02-22T10:09:31.096+03:00,2022-02-23T18:33:33.339+03:00,2022-02-22,dugwell,2022-02-22,"Puntland Ministry of Energy, Minerals and Water",,Khadra,nugaal,Eyl,Ciyocaddo,0.3,KAALO Relief and Development,,2017-01-22,Ciyocado DW,8.2704521 49.8270006 61.3590087890625 3.216,8.2704521,49.8270006,61.35900879,3.216,no,,,0,rural urban,TRUE,TRUE,http://classic.ona.io/api/v1/files/24896545?filename=faoso/attachments/553460_Water_Sources_Data_Form_Oct_2020/1645513975605.jpg,yes,,yes,,7000,2000,,5000,0,,,,,,,,,6,,no,2.5,12,,2,,,,,,,,,,,,,,Concrete/Masonry tank,45,Galvanised Steel,500,500,4,3,yes,12,72,Submersible Pump,Lowara,1.4,4,Hybrid - Solar/Generator,Kama,0.22,300-72M,5,poor,Destroyed dug well,no,,30.1,7.1,1000,495,No sampled,Communal,yes,2017-01-22,3,2,yes,0.1,,,,,Naciima cilmi Mohamud,907713662,KAALO Relief and Development,,Construction of ground tank,2018-01-22,"1. Drilling new dug well.
2. Rehabilitation of water supply extension.
3. Construction of new kiosks.
4. Construction of new elevated tank
",,,,,,,,,,,,,,,,,
